11	21
115	158	125	150	138	142	152	133	170	124	191	114	216	105	245	94	281	86	318	79	360	76	403	76	444	80	480	86	513	94	542	104	565	114	584	123	600	132	614	141	625	148
108	176	117	168	129	162	142	153	160	144	180	135	205	125	235	115	272	106	314	99	360	95	407	95	451	99	491	107	526	115	554	126	576	135	595	144	611	153	623	161	634	168
102	195	110	189	121	183	133	176	149	168	169	160	195	150	225	140	264	132	309	124	359	119	411	120	460	125	502	133	538	141	566	151	588	160	606	168	620	176	632	182	642	189
96	216	104	212	114	207	126	202	141	196	160	189	184	181	215	172	256	165	303	157	359	153	416	153	469	159	513	165	549	173	577	181	599	189	615	195	628	201	639	206	648	212
92	238	100	235	109	233	120	229	134	225	152	220	176	215	207	210	249	204	299	199	359	197	420	197	477	200	522	205	559	211	586	216	606	221	622	225	634	229	644	232	652	235
90	261	98	260	106	259	117	258	130	257	149	255	172	255	203	253	244	251	296	249	359	248	422	249	481	249	528	251	564	253	590	255	610	255	626	257	637	258	647	259	654	259
90	283	98	285	106	286	116	287	130	289	148	291	172	293	202	296	244	299	296	301	358	303	422	303	481	301	527	299	563	295	590	293	610	291	626	289	637	287	647	285	655	284
92	306	100	309	108	313	120	317	134	321	152	327	176	333	207	339	248	346	298	351	358	355	420	353	476	350	522	344	558	337	585	331	606	325	622	321	634	316	644	312	652	309
96	328	103	332	113	338	125	344	140	350	159	358	183	367	214	376	255	385	303	392	358	397	415	396	469	391	513	383	549	375	576	366	598	357	615	350	628	344	639	338	648	333
101	349	110	356	120	362	132	369	148	377	168	387	193	398	224	407	263	417	308	424	359	429	410	428	459	423	502	415	537	406	565	396	588	386	606	377	620	369	632	362	641	356
107	369	116	376	127	384	141	392	158	402	178	411	203	422	234	432	271	442	313	449	359	453	405	453	450	449	490	441	524	431	552	421	576	411	595	401	610	392	623	384	634	376
