11	21
116	154	124	149	137	142	150	135	168	125	189	116	215	105	243	95	280	85	318	78	360	74	402	74	443	79	480	86	515	96	543	106	566	115	584	124	600	132	613	139	623	145
109	172	117	168	129	161	141	154	158	145	179	136	205	125	234	115	273	104	314	97	359	93	406	93	451	98	490	107	526	117	555	127	577	137	595	145	610	152	622	159	632	164
102	192	110	188	121	182	133	176	149	169	169	160	194	150	225	140	264	130	309	122	359	118	410	118	459	124	501	132	538	143	566	152	588	161	606	169	619	175	631	181	640	185
96	214	104	211	114	207	125	202	140	196	159	189	184	181	215	172	256	163	303	156	359	151	415	152	468	157	512	165	549	174	577	182	598	189	615	196	627	200	638	205	647	208
92	236	100	234	108	232	119	229	133	225	152	221	176	216	207	210	248	203	298	198	358	195	419	196	476	200	522	205	558	211	585	217	606	221	622	225	633	228	644	231	651	233
90	260	97	259	106	259	116	258	130	257	148	255	171	254	202	252	243	250	295	249	358	248	422	248	481	249	528	251	564	253	590	254	610	255	626	256	637	257	646	258	654	259
90	283	97	284	105	285	116	287	130	288	147	290	171	293	202	296	243	299	295	301	358	303	422	302	481	300	527	297	564	295	590	292	610	290	625	288	637	287	646	285	654	284
92	307	99	310	108	312	119	316	133	320	151	325	175	331	206	338	248	345	298	352	358	355	419	354	476	349	522	343	558	336	585	329	606	324	622	319	633	316	644	313	651	310
95	329	103	333	112	337	124	342	139	349	158	356	182	365	214	375	255	385	303	393	358	398	414	397	467	391	512	382	548	373	576	364	598	356	615	349	627	344	638	339	647	335
101	351	109	356	119	361	132	368	147	376	167	385	192	395	223	406	263	417	308	425	358	430	409	429	458	423	501	414	537	404	565	393	588	384	606	376	619	369	631	363	640	358
108	372	116	377	127	383	140	390	157	399	177	409	202	420	233	431	271	442	313	450	358	454	405	454	450	448	490	440	525	429	553	418	577	408	595	399	610	391	622	385	632	379
