11	3
-266.542	0.215176	-0.000265983
-270.362	0.185152	-0.000224711
-273.637	0.146759	-0.000172711
-276.589	0.100416	-0.000109342
-278.569	0.0389261	-2.54033e-05
-281.19	-0.0252623	5.99296e-05
-283.386	-0.103779	0.000168857
-285.686	-0.189635	0.000285271
-288.618	-0.279231	0.000407956
-291.97	-0.375169	0.000537118
-294.084	-0.484146	0.000683953
